,DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
9523,2011-03-06,2011-03-12,SUL,PARANA,ETANOL HIDRATADO,568,R$/l,1.978,0.106,1.639,2.199,0.206,0.054,1.772,0.141,1.2,2.0889,0.08
9524,2011-03-06,2011-03-12,SUL,RIO GRANDE DO SUL,ETANOL HIDRATADO,564,R$/l,2.28,0.122,1.979,2.659,0.26,0.054,2.02,0.112,1.6807,2.4087,0.055
9525,2011-03-06,2011-03-12,SUL,SANTA CATARINA,ETANOL HIDRATADO,383,R$/l,2.19,0.143,1.879,2.499,0.131,0.065,2.059,0.083,1.7119,2.2254,0.04
9526,2011-03-13,2011-03-19,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,80,R$/l,2.25,0.001,2.25,2.259,0.335,0.0,1.915,0.058,1.8446,1.985,0.03
9527,2011-03-13,2011-03-19,CENTRO OESTE,GOIAS,ETANOL HIDRATADO,256,R$/l,2.175,0.052,1.99,2.29,0.246,0.024,1.929,0.068,1.6623,2.1065,0.035
9528,2011-03-13,2011-03-19,CENTRO OESTE,MATO GROSSO,ETANOL HIDRATADO,139,R$/l,2.037,0.08,1.85,2.39,0.358,0.039,1.679,0.058,1.6,1.89,0.035
9529,2011-03-13,2011-03-19,CENTRO OESTE,MATO GROSSO DO SUL,ETANOL HIDRATADO,132,R$/l,2.134,0.124,1.89,2.479,0.238,0.0579999999999999,1.896,0.119,1.571,2.2795,0.063
9530,2011-03-13,2011-03-19,NORDESTE,ALAGOAS,ETANOL HIDRATADO,98,R$/l,2.085,0.079,1.89,2.27,0.221,0.038,1.864,0.097,1.6101,1.979,0.052
9531,2011-03-13,2011-03-19,NORDESTE,BAHIA,ETANOL HIDRATADO,420,R$/l,2.131,0.1,1.83,2.399,0.305,0.047,1.826,0.072,1.5445,2.0644,0.039
9532,2011-03-13,2011-03-19,NORDESTE,CEARA,ETANOL HIDRATADO,201,R$/l,2.062,0.048,1.89,2.25,0.21,0.023,1.852,0.041,1.7114,2.001,0.022
9533,2011-03-13,2011-03-19,NORDESTE,MARANHAO,ETANOL HIDRATADO,122,R$/l,2.103,0.09,1.89,2.39,0.182,0.043,1.921,0.097,1.6933,2.069,0.05
9534,2011-03-13,2011-03-19,NORDESTE,PARAIBA,ETANOL HIDRATADO,123,R$/l,1.958,0.071,1.77,2.2,0.144,0.036,1.814,0.047,1.706,1.882,0.026
9535,2011-03-13,2011-03-19,NORDESTE,PERNAMBUCO,ETANOL HIDRATADO,336,R$/l,1.95,0.125,1.65,2.299,0.158,0.064,1.792,0.071,1.6307,2.0085,0.04
9536,2011-03-13,2011-03-19,NORDESTE,PIAUI,ETANOL HIDRATADO,84,R$/l,2.161,0.103,1.88,2.32,0.148,0.048,2.013,0.113,1.6996,2.1462,0.056
9537,2011-03-13,2011-03-19,NORDESTE,RIO GRANDE DO NORTE,ETANOL HIDRATADO,115,R$/l,2.221,0.096,1.94,2.299,0.351,0.043,1.87,0.094,1.585,2.1406,0.05
9538,2011-03-13,2011-03-19,NORDESTE,SERGIPE,ETANOL HIDRATADO,55,R$/l,1.981,0.071,1.839,2.169,0.227,0.036,1.754,0.064,1.6169,1.8692,0.036
9539,2011-03-13,2011-03-19,NORTE,ACRE,ETANOL HIDRATADO,40,R$/l,2.414,0.126,2.32,2.79,0.318,0.052,2.096,0.043,2.01,2.1528,0.021
9540,2011-03-13,2011-03-19,NORTE,AMAPA,ETANOL HIDRATADO,18,R$/l,2.245,0.037,2.23,2.35,0.342,0.016,1.903,0.004,1.898,1.9074,0.002
